country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Sudan,,,,,,26.9,,,,,,,,,,,,,,,,34,,,,32.9,,,,34.2,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,19.1,,,,18.8,,,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,13.3,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,12.7,,,,,,,11.6,,,,,8.7,
Tanzania,,,,,,,,36.6,,39.3,,38.1,,,39.3,,,,,35.3,41.1,,,37.8,,36.9,,31.1,,,,30.5,,
Thailand,,,20.5,,,,,,,,,,,,,,,,,,,19.6,,,,,,22.1,,,22.5,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,18.9,,,,,,14.9,,
Togo,,,,43.6,,,,,,,,,,30.5,,,,,,,,24.3,,,,25.2,,,,21.8,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,
Trinidad and Tobago,,,34.4,,,,,,,,,,,,,,,,,,,8.1,,,,,11.2,,,,,,,
Tunisia,,,,9.7,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,
Turkey,,,,,,,,,23.3,,,,,23,,,,,18.4,,,,,14,,,,,14,,,,,
Turkmenistan,,,,,,,,,,,,,,,,9.1,,,,,,7.3,,,,,,,,,,5.7,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,9.9,,,,,,,,,,,
Uganda,,,,,52.6,,,,,,54.1,,,,,,53.9,,,,51.4,46.3,,,,,39.7,,,,,34,,
Ukraine,,,,,,,,,,,,,,,14.2,,,,,,6.4,,9.9,,,,,9.1,,,,,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,,,,,
Uzbekistan,,,,,,,,,,,,15.3,,,,,,12.9,,,,7.2,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,27.1,,,,,,21.4,,,,,
Vietnam,,,,,,,,,,,,,12.4,,,,,11.1,,,10.2,10.4,,,,,9.3,,,10.6,,,,
Yemen,,,,,,,,49.2,,,,,48.4,,,,,,,,,32.3,,,,,,32.3,31.9,,,,,
Zambia,,,,,,,,43.3,,,,44.2,,,,,,42.1,,,,,41.6,,,,,,,31.4,,,,
Zimbabwe,,,,33.1,,,,,,31,,,,,28.7,,,,,,,33.6,,,30.1,,30.5,,,33.5,32.4,,,
